date,weight
2023-01-22,90.9
2023-01-23,89.1
2023-01-25,90.9
2023-01-26,90.0
2023-01-27,91.8
2023-01-29,88.2
2023-01-30,91.8
2023-02-01,90.9
2023-02-02,90.0
2023-02-03,90.9
2023-02-06,88.2
2023-02-07,88.2
2023-02-08,91.8
2023-02-09,90.0
2023-02-10,90.0
2023-02-11,88.2
2023-02-12,91.8
2023-02-13,91.8
2023-02-14,91.8
2023-02-15,89.1
2023-02-16,90.0
2023-02-17,91.8
2023-02-18,90.9
2023-02-20,91.8
2023-02-21,91.8
2023-02-22,90.0
2023-02-24,90.9
2023-02-25,90.9
2023-02-26,90.0
2023-02-27,89.1
2023-03-01,89.1
2023-03-02,89.1
2023-03-03,90.0
2023-03-04,88.2
2023-03-05,89.1
2023-03-06,88.2
2023-03-07,88.2
2023-03-09,91.8
2023-03-10,91.8
2023-03-11,91.8
2023-03-14,88.2
2023-03-15,91.8
2023-03-17,89.1
2023-03-18,88.2
2023-03-20,90.0
2023-03-21,91.8
2023-03-22,89.1
2023-03-23,90.0
2023-03-24,90.0
2023-03-25,90.0
2023-03-26,91.8
2023-03-27,88.2
2023-03-28,90.9
2023-03-29,90.9
2023-03-30,90.9
2023-03-31,91.8
2023-04-01,90.0
2023-04-02,91.8
2023-04-03,88.2
2023-04-04,90.9
2023-04-06,88.2
2023-04-07,88.2
2023-04-08,89.1
2023-04-09,90.0
2023-04-10,90.9
2023-04-11,88.2
2023-04-12,88.2
2023-04-13,91.8
2023-04-14,90.0
2023-04-15,90.0
2023-04-16,90.0
2023-04-17,90.0
2023-04-18,90.0
2023-04-20,88.2
2023-04-21,90.0
2023-04-22,88.2
2023-04-24,90.0
2023-04-25,89.1
2023-04-26,90.0
2023-04-28,89.1
2023-04-29,88.2
2023-04-30,89.1
2023-05-01,90.9
2023-05-02,90.9
2023-05-04,90.9
2023-05-05,88.2
2023-05-06,90.0
2023-05-09,89.1
2023-05-10,90.9
2023-05-11,91.8
2023-05-12,91.8
2023-05-13,90.9
2023-05-16,90.9
2023-05-17,90.9
2023-05-19,89.1
2023-05-20,89.1
2023-05-21,90.9
2023-05-23,90.0
2023-05-24,90.0
2023-05-25,91.8
2023-05-26,90.9
2023-05-27,88.2
2023-05-28,88.2
2023-08-01,91.8
2023-08-02,89.1
2023-08-03,91.8
2023-08-04,88.2
2023-08-05,91.8
2023-08-06,88.2
2023-08-07,90.9
2023-08-08,91.8
2023-08-09,91.8
2023-08-10,90.0
2023-08-11,89.1
2023-08-12,90.9
2023-08-13,90.0
2023-08-14,90.0
2023-08-15,90.0
2023-08-16,90.9
2023-08-17,90.9
2023-08-18,91.8
2023-08-19,90.9
2023-08-20,90.0
2023-08-22,90.9
2023-08-23,91.8
2023-08-24,90.9
2023-08-25,91.8
2023-08-26,88.2
2023-08-28,90.0
2023-08-29,89.1
2023-08-30,90.9
2023-08-31,89.1
2023-09-01,89.1
2023-09-02,89.1
2023-09-04,91.8
2023-09-05,89.1
2023-09-06,90.0
2023-09-07,88.2
2023-09-08,90.9
2023-09-09,91.8
2023-09-10,90.0
2023-09-11,89.1
2023-09-12,88.2
2023-09-13,88.2
2023-09-14,88.2
2023-09-15,90.9
2023-09-16,90.9
2023-09-17,89.1
2023-09-19,91.8
2023-09-20,90.0
2023-09-21,89.1
2023-09-22,88.2
2023-09-23,89.1
2023-09-24,90.9
2023-09-25,90.0
2023-09-26,88.2
2023-09-27,91.8
2023-09-30,89.1
2023-10-01,90.9
2023-10-02,90.9
2023-10-04,89.1
2023-10-05,89.1
2023-10-06,89.1
2023-10-07,91.8
2023-10-09,90.0
2023-10-10,89.1
2023-10-11,90.0
2023-10-12,88.2
2023-10-13,91.8
2023-10-14,88.2
2023-10-15,90.9
2023-10-16,89.1
2023-10-17,91.8
2023-10-18,91.8
2023-10-19,90.9
2023-10-20,90.9
2023-10-21,88.2
2023-10-23,90.9
2023-10-24,90.0
2023-10-25,89.1
2023-10-26,90.0
2023-10-27,90.0
2023-10-28,90.9
2023-10-30,90.0
2023-10-31,90.9
2023-11-01,89.1
2023-11-03,88.2
2023-11-04,89.1
2023-11-05,91.8
2023-11-06,91.8
2023-11-08,89.1
2023-11-09,90.9
2023-11-10,90.9
2023-11-11,91.8
2023-11-12,90.0
2023-11-14,90.0
2023-11-15,89.1
2023-11-16,90.9
2023-11-17,88.2
2023-11-18,91.8
2023-11-19,91.8
2023-11-20,88.2
2023-11-21,90.9
2023-11-22,90.9
2023-11-23,89.1
2023-11-24,90.0
2023-11-25,89.1
2023-11-28,88.2
2023-11-29,88.2
2023-11-30,91.8
2023-12-01,88.2
2023-12-02,88.2
2023-12-03,89.1
2023-12-04,90.9
2023-12-05,88.2
2023-12-06,89.1
2023-12-08,91.8
2023-12-09,91.8
2023-12-10,91.8
2023-12-12,91.8
2023-12-13,88.2
2023-12-14,88.2
2023-12-15,88.2
2023-12-16,91.8
2023-12-17,88.2
2023-12-18,88.2
2023-12-19,90.0
2023-12-21,90.0
2023-12-22,88.2
2023-12-23,89.1
2023-12-24,90.9
2023-12-25,88.2
2023-12-26,89.1
2023-12-27,88.2
2023-12-28,90.0
2023-12-29,90.0
2023-12-30,91.8
2023-12-31,90.0
2024-01-01,90.0
2024-01-02,88.2
2024-01-03,88.2
2024-01-04,91.8
2024-01-05,91.8
2024-01-06,91.8
2024-01-07,90.0
2024-01-08,90.9
2024-01-09,91.8
2024-01-10,88.2
2024-01-11,91.8
2024-01-12,90.0
2024-01-13,90.0
2024-01-14,91.8
2024-01-15,88.2
2024-01-16,91.8
2024-01-17,89.1
2024-01-18,90.9
2024-01-19,91.8
2024-01-20,91.8
2024-01-21,88.2
2024-01-22,91.8
2024-01-23,89.1
2024-01-24,91.8
2024-01-25,91.8
2024-01-26,88.2
2024-01-27,90.0
2024-01-28,89.1
2024-01-29,91.8
2024-01-30,89.1
2024-01-31,89.1
2024-02-02,89.1
2024-02-03,91.8
2024-02-04,90.9
2024-02-05,88.2
2024-02-06,89.1
2024-02-07,88.2
2024-02-09,91.8
2024-02-10,91.8
2024-02-11,89.1
2024-02-12,91.8
2024-02-14,91.8
2024-02-15,88.2
2024-02-16,90.0
2024-02-17,89.1
2024-02-20,90.0
2024-02-21,90.0
2024-02-22,90.0
2024-02-23,90.0
2024-02-24,91.8
2024-02-25,90.0
2024-02-26,91.8
2024-02-27,91.8
2024-02-28,88.2
2024-02-29,91.8
2024-03-01,90.0
2024-03-02,90.0
2024-03-04,88.2
2024-03-05,90.0
2024-03-06,90.9
2024-03-07,90.0
2024-03-08,90.9
2024-03-09,89.1
2024-03-10,90.0
2024-03-11,88.2
2024-03-13,91.8
2024-03-14,89.1
2024-03-15,88.2
2024-03-16,89.1
2024-03-17,89.1
2024-03-19,90.0
2024-03-20,91.8
2024-03-21,90.0
2024-03-22,89.1
2024-03-23,88.2
2024-03-24,89.1
2024-03-25,90.9
2024-03-26,89.1
2024-03-27,88.2
2024-03-28,90.0
2024-03-29,89.1
2024-03-30,90.9
2024-04-01,89.1
2024-04-02,90.0
2024-04-03,88.2
2024-04-04,91.8
2024-04-05,91.8
2024-04-06,90.0
2024-04-07,89.1
2024-04-08,89.1
2024-04-10,90.9
2024-04-11,89.1
2024-04-12,89.1
2024-04-13,88.2
2024-04-14,90.9
2024-04-15,89.1
2024-04-17,90.0
2024-04-18,88.2
2024-04-19,89.1
2024-04-20,88.2
2024-04-21,89.1
2024-04-22,90.0
2024-04-23,88.2
2024-04-24,90.0
2024-04-25,89.1
2024-04-26,88.2
2024-04-27,90.0
2024-04-29,91.8
2024-04-30,89.1
2024-05-01,90.9
2024-05-02,88.2
2024-05-03,89.1
2024-05-04,90.9
2024-05-05,90.9
2024-05-07,88.2
2024-05-08,88.2
2024-05-09,89.1
2024-05-10,91.8
2024-05-11,90.0
2024-05-13,88.2
2024-05-14,91.8
2024-05-15,90.9
2024-05-17,90.0
2024-05-18,90.9
2024-05-19,89.1
2024-08-01,91.8
2024-08-02,90.0
2024-08-03,89.1
2024-08-04,91.8
2024-08-05,91.8
2024-08-06,88.2
2024-08-07,90.9
2024-08-09,91.8
2024-08-10,89.1
2024-08-11,90.0
2024-08-12,91.8
2024-08-13,91.8
2024-08-14,88.2
2024-08-15,91.8
2024-08-16,90.9
2024-08-17,89.1
2024-08-18,90.0
2024-08-19,91.8
2024-08-20,89.1
2024-08-21,90.0
2024-08-22,89.1
2024-08-23,88.2
2024-08-24,91.8
2024-08-25,90.0
2024-08-27,91.8
2024-08-28,91.8
2024-08-29,90.0
2024-08-30,91.8
2024-08-31,89.1
2024-09-01,90.0
2024-09-02,88.2
2024-09-03,90.9
2024-09-04,90.0
2024-09-05,91.8
2024-09-06,90.0
2024-09-07,90.9
2024-09-08,88.2
2024-09-09,88.2
2024-09-10,88.2
2024-09-11,89.1
2024-09-12,89.1
2024-09-13,88.2
2024-09-14,89.1
2024-09-16,90.0
2024-09-17,90.0
2024-09-19,89.1
2024-09-20,90.0
2024-09-21,89.1
2024-09-22,90.9
2024-09-23,88.2
2024-09-24,90.0
2024-09-26,91.8
2024-09-27,90.9
2024-09-28,91.8
2024-09-30,88.2
2024-10-01,90.9
2024-10-02,88.2
2024-10-03,90.9
2024-10-04,90.0
2024-10-05,90.0
2024-10-06,89.1
2024-10-08,90.0
2024-10-09,90.9
2024-10-10,88.2
2024-10-11,90.0
2024-10-12,90.0
2024-10-13,89.1
2024-10-14,89.1
2024-10-15,90.0
2024-10-16,90.0
2024-10-17,90.9
2024-10-18,90.9
2024-10-19,89.1
2024-10-20,89.1
2024-10-22,88.2
2024-10-23,88.2
2024-10-24,90.9
2024-10-25,88.2
2024-10-26,90.0
2024-10-27,91.8
2024-10-28,88.2
2024-10-29,91.8
2024-10-30,88.2
2024-11-01,89.1
2024-11-02,90.0
2024-11-03,91.8
2024-11-04,88.2
2024-11-05,88.2
2024-11-06,90.9
2024-11-07,88.2
2024-11-08,90.0
2024-11-09,91.8
2024-11-10,90.9
2024-11-11,90.9
2024-11-12,89.1
2024-11-13,88.2
2024-11-14,90.9
2024-11-15,88.2
2024-11-16,90.9
2024-11-17,90.0
2024-11-18,89.1
2024-11-19,91.8
2024-11-20,88.2
2024-11-21,90.0
2024-11-22,91.8
2024-11-23,89.1
2024-11-25,88.2
2024-11-26,88.2
2024-11-27,89.1
2024-11-28,91.8
2024-11-29,90.9
2024-11-30,88.2
2024-12-01,89.1
2024-12-02,89.1
2024-12-03,90.0
2024-12-04,91.8
2024-12-06,91.8
2024-12-07,90.9
2024-12-08,90.0
2024-12-09,91.8
2024-12-10,89.1
2024-12-11,91.8
2024-12-12,89.1
2024-12-13,89.1
2024-12-14,90.0
2024-12-15,90.0
2024-12-17,89.1
2024-12-18,90.9
2024-12-19,90.9
2024-12-20,89.1
2024-12-21,91.8
2024-12-22,90.9
2024-12-24,91.8
2024-12-25,88.2
2024-12-26,89.1
2024-12-27,90.9
2024-12-28,88.2
2024-12-29,90.9
2024-12-30,88.2
2024-12-31,90.9
2025-01-01,88.2
2025-01-02,90.9
2025-01-03,90.0
2025-01-04,91.8
2025-01-06,90.0
2025-01-07,90.0
2025-01-08,90.9
2025-01-09,90.0
2025-01-10,90.0
2025-01-11,91.8
2025-01-12,91.8
2025-01-13,89.1
2025-01-14,89.1
2025-01-15,90.0
2025-01-17,88.2
2025-01-18,88.2
2025-01-19,91.8
2025-01-20,91.8
2025-01-21,88.2
2025-01-23,90.9
2025-01-24,90.0
2025-01-25,90.9
2025-01-27,90.0
2025-01-29,90.0
2025-01-30,90.9
2025-01-31,91.8
2025-02-01,91.8
2025-02-02,91.8
2025-02-03,90.0
2025-02-04,90.9
2025-02-06,89.1
2025-02-07,89.1
2025-02-08,90.0
2025-02-09,88.2
2025-02-11,89.1
2025-02-12,89.1
2025-02-13,91.8
2025-02-14,91.8
2025-02-17,90.9
2025-02-18,91.8
2025-02-20,91.8
2025-02-21,90.9
2025-02-22,90.0
2025-02-23,90.0
2025-02-24,91.8
2025-02-25,90.9
2025-02-27,88.2
2025-02-28,91.8
2025-03-03,89.1
2025-03-04,88.2
2025-03-05,90.0
2025-03-06,91.8
2025-03-07,90.9
2025-03-08,90.0
2025-03-09,89.1
2025-03-11,90.9
2025-03-12,91.8
2025-03-13,90.9
